  0,122
  1,  7
  2,  3
  3,  4
  4,  3
  5,  2
  6,  2
  8,  2
 10,  3
 11,  2
 13,  1
 14,  6
 15,  2
 16,  5
 17,  2
 18,  1
 19,  5
 20,  3
 21,  3
 22,  3
 23,  2
 24,  1
 25,  2
 26,  6
 27,  3
 28,  6
 29,  8
 30,  1
 31,  1
 32,  1
 33,  4
 35,  3
 36,  3
 37,  2
 38,  7
 39,  1
 40,  2
 41,  5
 42,  2
 43,  1
 45,  2
 46,  2
 47,  5
 48,  1
 49,  1
 50,  1
 53,  2
 54,  1
 55,  4
 56,  1
 57,  2
 58,  1
 60,  1
 61,  6
 62,  2
 63,  1
 64,  2
 68,  2
 70,  3
 71,  4
 72,  2
 73,  3
 74,  1
 77,  3
 78,  6
 79,  4
 80,  2
 81,  2
 82,  1
 83,  7
 84,  3
 85,  2
 86,  3
 87,  2
 88,  3
 89,  1
 90,  2
 91,  2
 92,  3
 93,  2
 94,  2
 96,  1
 97,  1
 98,  1
 99,  2
101,  1
102,  2
104,  2
105,  3
106,  1
107,  1
109,  4
112,  2
113,  3
114,  1
115,  2
116,  1
118,  2
119,  1
121,  3
122,  5
123,  3
124,  1
125,  1
126,  2
127,  2
128,  2
129,  2
130,  1
131,  4
133,  1
134,  1
135,  1
137,  1
145,  1
147,  2
148,  2
149,  1
150,  1
152,  1
156,  1
158,  1
163,  1
168,  1
551,  1
172,  2
174,  3
176,  1
178,  1
184,  1
204,  1
207,  1
216,  1
231,  1
235,  1
246,  1
250,  1
252,  1
255,  1
266,  1
268,  1
271,  1
275,  1
282,  1
284,  1
288,  1
289,  1
291,  1
300,  1
301,  2
302,  9
303,  1
326,  1
329,  1
333,  1
338,  1
339,  1
342,  2
349,  2
353,  1
367,  1
380,  1
403,  1
417,  1
418,  2
423,  1
425,  1
-82,  1
-81,  1
-80,  1
-79,  2
-26,  1
-19,  1
-16,  2
-15,  2
-11,  1
-10,  1
 -7,  1
 -6,  2
 -5,  1
 -4,  3
 -3,  1
 -2,  1
