GeneratePic_parameter_set_rbsp          ,1              ,4827           ,4827           ,4827.0         
clear_rdopt                             ,1              ,27678          ,27678          ,27678.0        
encode_one_macroblock                   ,2475           ,747405         ,36690511       ,15294288.4     
RDCost_for_macroblocks                  ,29711          ,31875          ,1262268        ,168095.8       
Mode_Decision_for_Intra4x4Macroblock    ,8925           ,257475         ,1015854        ,388085.3       
RDCost_for_8x8blocks                    ,37995          ,5481           ,164007         ,8501.2         
Mode_Decision_for_4x4IntraBlocks        ,142234         ,6759           ,230316         ,24677.2        
set_stored_macroblock_parameters        ,2475           ,4785           ,80502          ,7577.2         
init_rdopt                              ,1              ,72327          ,72327          ,72327.0        
delete_coding_state                     ,7              ,192            ,2124           ,503.6          
FastLine16Y_11                          ,13147966       ,27             ,146766         ,40.7           
UMVLine16Y_11                           ,6278660        ,33             ,42204          ,61.2           
FastPelY_14                             ,13134478       ,30             ,154044         ,42.7           
CloseSEIMessages                        ,1              ,14707          ,14707          ,14707.0        
encode_one_slice                        ,25             ,193721736      ,1860037857     ,1489727966.9   
dct_luma_16x16                          ,8925           ,13176          ,112176         ,16080.9        
dct_luma                                ,1309677        ,588            ,55707          ,835.3          
dct_chroma                              ,54538          ,2973           ,122415         ,3679.1         
intrapred_luma_16x16                    ,8925           ,1767           ,172659         ,4309.2         
intrapred_luma                          ,141799         ,486            ,37224          ,870.2          
Configure                               ,1              ,983417         ,983417         ,983417.0       
ParseContent                            ,1              ,440160         ,440160         ,440160.0       
PatchInp                                ,1              ,158277         ,158277         ,158277.0       
start_sequence                          ,1              ,1732070        ,1732070        ,1732070.0      
terminate_sequence                      ,1              ,1441062        ,1441062        ,1441062.0      
FmoStartPicture                         ,25             ,4365           ,8967           ,4978.7         
FmoGetFirstMBOfSliceGroup               ,200            ,402            ,2160           ,664.1          
FmoGetNextMBNr                          ,2500           ,102            ,1698           ,486.0          
FmoGetPreviousMBNr                      ,7375           ,39             ,1344           ,170.2          
FmoSliceGroupCompletelyCoded            ,50             ,234            ,1225           ,646.0          
FmoInit                                 ,25             ,2073           ,8169           ,3463.8         
SliceHeader                             ,25             ,3003           ,22761          ,5056.6         
ref_pic_list_reordering                 ,25             ,477            ,1845           ,1065.0         
dec_ref_pic_marking                     ,25             ,411            ,1815           ,829.9          
encode_one_frame                        ,25             ,233099267      ,1974657246     ,1547289323.2   
ReadOneFrame                            ,25             ,634404         ,3107390        ,772337.6       
buf2img                                 ,75             ,100800         ,419067         ,201712.0       
GenerateFullPelRepresentation           ,25             ,404514         ,474111         ,409830.1       
init_frame                              ,25             ,1656           ,9042           ,3069.8         
RandomIntraInit                         ,1              ,30711          ,30711          ,30711.0        
init_global_buffers                     ,1              ,94908          ,94908          ,94908.0        
init_orig_buffers                       ,1              ,120246         ,120246         ,120246.0       
free_picture                            ,1              ,3836           ,3836           ,3836.0         
free_global_buffers                     ,1              ,94071          ,94071          ,94071.0        
free_orig_planes                        ,1              ,9380           ,9380           ,9380.0         
free_img                                ,1              ,1013173        ,1013173        ,1013173.0      
init_img                                ,1              ,2990701        ,2990701        ,2990701.0      
DeblockFrame                            ,25             ,2919027        ,4598520        ,3462442.1      
DeblockMb                               ,2475           ,15627          ,69024          ,34851.9        
EdgeLoop                                ,18636          ,1683           ,99069          ,2414.7         
GetStrength                             ,19264          ,1071           ,94044          ,2155.7         
start_macroblock                        ,2475           ,1890           ,44695          ,3226.6         
terminate_macroblock                    ,2475           ,924            ,3183           ,1328.9         
OneComponentLumaPrediction4x4           ,298615         ,219            ,36381          ,294.7          
LumaResidualCoding8x8                   ,75746          ,1512           ,153351         ,4912.7         
LumaResidualCoding                      ,9504           ,9249           ,122382         ,17843.1        
LumaPrediction4x4                       ,299902         ,288            ,35700          ,411.4          
ChromaPrediction4x4                     ,235496         ,75             ,147918         ,921.8          
ChromaResidualCoding                    ,29711          ,8574           ,62783          ,15441.9        
IntraChromaPrediction                   ,2475           ,2199           ,97230          ,4930.3         
write_one_macroblock                    ,2475           ,990            ,113259         ,6532.5         
writeMBLayer                            ,29811          ,363            ,189175         ,15642.4        
writeChromaCoeff                        ,29320          ,48             ,82380          ,1456.1         
writeChromaIntraPredMode                ,17953          ,132            ,1953           ,295.0          
writeMotionInfo2NAL                     ,29302          ,57             ,102189         ,832.3          
writeReferenceFrame                     ,55713          ,39             ,31479          ,276.6          
writeMotionVector8x8                    ,63127          ,243            ,35634          ,846.4          
writeCBPandLumaCoeff                    ,29315          ,276            ,268218         ,12693.1        
writeLumaCoeff8x8                       ,46260          ,2112           ,41532          ,4330.9         
writeCoeff4x4_CAVLC                     ,1501497        ,366            ,243507         ,1143.7         
find_sad_16x16                          ,8925           ,3309           ,131883         ,8824.4         
free_dpb                                ,1              ,5028           ,5028           ,5028.0         
alloc_storable_picture                  ,25             ,123549         ,326790         ,251497.4       
store_picture_in_dpb                    ,25             ,28323135       ,30542721       ,29405879.8     
output_one_frame_from_dpb               ,25             ,22113          ,137085         ,48872.0        
idr_memory_management                   ,1              ,7695           ,7695           ,7695.0         
flush_dpb                               ,2              ,2019           ,3615054        ,1808536.5      
unmark_for_reference                    ,31             ,119            ,999319         ,167797.7       
sliding_window_memory_management        ,24             ,432            ,467898         ,175181.9       
insert_picture_in_dpb                   ,25             ,28656642       ,29525799       ,29139118.8     
alloc_colocated                         ,1              ,130170         ,130170         ,130170.0       
free_colocated                          ,1              ,1214340        ,1214340        ,1214340.0      
Clear_Motion_Search_Module              ,1              ,536925         ,536925         ,536925.0       
FindSkipModeMotionVector                ,2376           ,927            ,18714          ,2132.1         
SetMotionVectorPredictor                ,791687         ,204            ,230232         ,434.9          
PartitionMotionSearch                   ,49802          ,10797          ,23639328       ,640689.0       
BlockMotionSearch                       ,765427         ,3822           ,3681897        ,40152.0        
SubPelBlockMotionSearch                 ,769487         ,537            ,272052         ,10787.9        
sign                                    ,5839910        ,30             ,113721         ,54.3           
Init_Motion_Search_Module               ,1              ,9468630        ,9468630        ,9468630.0      
AllocNalPayloadBuffer                   ,1              ,89982          ,89982          ,89982.0        
RBSPtoNALU                              ,2              ,642            ,3957           ,2299.5         
init_out_buffer                         ,1              ,4347           ,4347           ,4347.0         
GenerateParameterSets                   ,1              ,153453         ,153453         ,153453.0       
GenerateSequenceParameterSet            ,1              ,191268         ,191268         ,191268.0       
FreeParameterSets                       ,1              ,3003           ,3003           ,3003.0         
GenerateSeq_parameter_set_NALU          ,1              ,87072          ,87072          ,87072.0        
GenerateSeq_parameter_set_rbsp          ,1              ,17283          ,17283          ,17283.0        
GeneratePic_parameter_set_NALU          ,1              ,55377          ,55377          ,55377.0        
GeneratePic_parameter_set_rbsp          ,1              ,4866           ,4866           ,4866.0         
clear_rdopt                             ,1              ,53879          ,53879          ,53879.0        
encode_one_macroblock                   ,2475           ,718998         ,29257254       ,15062044.3     
RDCost_for_macroblocks                  ,29711          ,31827          ,1525476        ,168241.0       
Mode_Decision_for_Intra4x4Macroblock    ,8925           ,257496         ,980161         ,388519.3       
RDCost_for_8x8blocks                    ,37998          ,5532           ,165186         ,8574.0         
Mode_Decision_for_4x4IntraBlocks        ,141924         ,6675           ,185967         ,24517.3        
set_stored_macroblock_parameters        ,2475           ,4602           ,42363          ,7503.5         
init_rdopt                              ,1              ,187572         ,187572         ,187572.0       
delete_coding_state                     ,7              ,195            ,1764           ,446.6          
FastLine16Y_11                          ,12822981       ,24             ,177321         ,40.1           
UMVLine16Y_11                           ,6922798        ,30             ,182943         ,62.0           
FastPelY_14                             ,14138750       ,27             ,99648          ,42.7           
CloseSEIMessages                        ,1              ,15792          ,15792          ,15792.0        
encode_one_slice                        ,25             ,198045531      ,1942357647     ,1505214168.6   
dct_luma_16x16                          ,8925           ,13251          ,322029         ,16413.9        
dct_luma                                ,1402594        ,591            ,148524         ,835.1          
dct_chroma                              ,54566          ,2994           ,43083          ,3663.9         
intrapred_luma_16x16                    ,8925           ,1698           ,96495          ,4217.2         
intrapred_luma                          ,141680         ,489            ,58989          ,858.9          
Configure                               ,1              ,796185         ,796185         ,796185.0       
ParseContent                            ,1              ,502747         ,502747         ,502747.0       
PatchInp                                ,1              ,787444         ,787444         ,787444.0       
start_sequence                          ,1              ,1525185        ,1525185        ,1525185.0      
terminate_sequence                      ,1              ,1306176        ,1306176        ,1306176.0      
FmoStartPicture                         ,25             ,4311           ,5277           ,4805.0         
FmoGetFirstMBOfSliceGroup               ,200            ,516            ,1890           ,701.6          
FmoGetNextMBNr                          ,2500           ,93             ,1875           ,504.1          
FmoGetPreviousMBNr                      ,7375           ,39             ,1758           ,175.5          
FmoSliceGroupCompletelyCoded            ,50             ,231            ,1575           ,735.3          
FmoInit                                 ,25             ,2091           ,5100           ,3153.1         
SliceHeader                             ,25             ,3033           ,9303           ,4845.5         
ref_pic_list_reordering                 ,25             ,651            ,2007           ,1027.6         
dec_ref_pic_marking                     ,25             ,423            ,1569           ,913.3          
encode_one_frame                        ,25             ,230134377      ,1950853269     ,1533723434.2   
ReadOneFrame                            ,25             ,634911         ,786939         ,685099.1       
buf2img                                 ,75             ,100647         ,805245         ,210592.1       
GenerateFullPelRepresentation           ,25             ,404460         ,498104         ,411178.8       
init_frame                              ,25             ,1668           ,9696           ,3514.9         
RandomIntraInit                         ,1              ,30759          ,30759          ,30759.0        
init_global_buffers                     ,1              ,93201          ,93201          ,93201.0        
init_orig_buffers                       ,1              ,66333          ,66333          ,66333.0        
free_picture                            ,1              ,3164           ,3164           ,3164.0         
free_global_buffers                     ,1              ,296513         ,296513         ,296513.0       
free_orig_planes                        ,1              ,3195           ,3195           ,3195.0         
free_img                                ,1              ,1163897        ,1163897        ,1163897.0      
init_img                                ,1              ,1714041        ,1714041        ,1714041.0      
DeblockFrame                            ,25             ,2862063        ,4586496        ,3438252.1      
DeblockMb                               ,2475           ,15498          ,180654         ,35373.2        
EdgeLoop                                ,18636          ,1689           ,19464          ,2387.1         
GetStrength                             ,19264          ,1071           ,111975         ,2142.1         
